time;queries_in_system;time_in_queues;rejected_connections;parallel_query;load_ratio;TZ00:00
2025-05-22T09:32:11Z00:00;81;3;0;81;1.27;
2025-05-22T09:32:41Z00:00;61;0;0;61;0.95;
2025-05-22T09:33:11Z00:00;69;2;0;69;1.08;
2025-05-22T09:33:41Z00:00;50;32;0;50;0.78;
2025-05-22T09:34:11Z00:00;93;28;0;93;1.45;
2025-05-22T09:34:41Z00:00;70;3;0;70;1.09;
2025-05-22T09:35:11Z00:00;36;3;0;36;0.56;
2025-05-22T09:35:41Z00:00;73;8;0;73;1.14;
2025-05-22T09:36:11Z00:00;64;10;0;64;1.00;
2025-05-22T09:36:41Z00:00;47;7;0;47;0.73;
2025-05-22T09:37:11Z00:00;61;39;0;61;0.95;
2025-05-22T09:37:41Z00:00;97;1;0;97;1.52;
2025-05-22T09:38:11Z00:00;72;0;0;72;1.12;
2025-05-22T09:38:41Z00:00;108;3;0;108;1.69;
2025-05-22T09:39:11Z00:00;36;1;0;36;0.56;
2025-05-22T09:39:41Z00:00;85;2;0;85;1.33;
2025-05-22T09:40:11Z00:00;53;11;0;53;0.83;
2025-05-22T09:40:41Z00:00;58;4;0;58;0.91;
2025-05-22T09:41:11Z00:00;61;11;0;61;0.95;
2025-05-22T09:41:41Z00:00;52;4;0;52;0.81;
2025-05-22T09:42:11Z00:00;51;2;0;51;0.80;
2025-05-22T09:42:41Z00:00;62;8;0;62;0.97;
2025-05-22T09:43:11Z00:00;122;4;0;122;1.91;
2025-05-22T09:43:41Z00:00;59;8;0;59;0.92;
2025-05-22T09:44:11Z00:00;73;2;0;73;1.14;
2025-05-22T09:44:41Z00:00;49;3;0;49;0.77;
2025-05-22T09:45:11Z00:00;40;1;0;40;0.62;
2025-05-22T09:45:41Z00:00;67;6;0;67;1.05;
2025-05-22T09:46:11Z00:00;64;2;0;64;1.00;
2025-05-22T09:46:41Z00:00;72;2;0;72;1.12;
2025-05-22T09:47:11Z00:00;113;5;0;113;1.77;
2025-05-22T09:47:41Z00:00;62;2;0;62;0.97;
2025-05-22T09:48:11Z00:00;44;3;0;44;0.69;
2025-05-22T09:48:41Z00:00;107;7;0;107;1.67;
2025-05-22T09:49:11Z00:00;52;7;0;52;0.81;
2025-05-22T09:49:41Z00:00;52;1;0;52;0.81;
2025-05-22T09:50:11Z00:00;62;8;0;62;0.97;
2025-05-22T09:50:41Z00:00;68;5;0;68;1.06;
2025-05-22T09:51:11Z00:00;49;10;0;49;0.77;
2025-05-22T09:51:41Z00:00;99;85;0;99;1.55;
2025-05-22T09:52:11Z00:00;58;3;0;58;0.91;
2025-05-22T09:52:41Z00:00;65;6;0;64;1.00;
2025-05-22T09:53:11Z00:00;45;2;0;45;0.70;
2025-05-22T09:53:41Z00:00;88;54;0;88;1.38;
2025-05-22T09:54:11Z00:00;38;7;0;38;0.59;
2025-05-22T09:54:41Z00:00;48;3;0;48;0.75;
2025-05-22T09:55:11Z00:00;52;2;0;52;0.81;
2025-05-22T09:55:41Z00:00;74;3;0;74;1.16;
2025-05-22T09:56:11Z00:00;41;2;0;41;0.64;
2025-05-22T09:56:41Z00:00;49;0;0;49;0.77;
2025-05-22T09:57:11Z00:00;22;1;0;22;0.34;
2025-05-22T09:57:41Z00:00;21;0;0;21;0.33;
2025-05-22T09:58:11Z00:00;18;1;0;18;0.28;
2025-05-22T09:58:41Z00:00;149;34;0;128;2.00;
2025-05-22T09:59:11Z00:00;25;4;0;25;0.39;
2025-05-22T09:59:41Z00:00;40;5;0;40;0.62;
2025-05-22T10:00:11Z00:00;26;1;0;26;0.41;
2025-05-22T10:00:41Z00:00;29;7;0;29;0.45;
2025-05-22T10:01:11Z00:00;37;0;0;37;0.58;
2025-05-22T10:01:41Z00:00;30;1;0;30;0.47;
2025-05-22T10:02:11Z00:00;20;6;0;20;0.31;
2025-05-22T10:02:41Z00:00;30;38;0;30;0.47;
2025-05-22T10:03:11Z00:00;23;0;0;23;0.36;
2025-05-22T10:03:41Z00:00;32;1;0;32;0.50;
2025-05-22T10:04:11Z00:00;20;0;0;20;0.31;
2025-05-22T10:04:41Z00:00;50;66;0;50;0.78;
2025-05-22T10:05:11Z00:00;23;0;0;23;0.36;
2025-05-22T10:05:41Z00:00;32;0;0;32;0.50;
2025-05-22T10:06:11Z00:00;22;3;0;22;0.34;
2025-05-22T10:06:41Z00:00;23;6;0;23;0.36;
2025-05-22T10:07:11Z00:00;15;1;0;15;0.23;
2025-05-22T10:07:41Z00:00;21;1;0;21;0.33;
2025-05-22T10:08:11Z00:00;52;199;0;52;0.81;
2025-05-22T10:08:41Z00:00;38;126;0;38;0.59;
2025-05-22T10:09:11Z00:00;17;0;0;17;0.27;
2025-05-22T10:09:41Z00:00;39;1;0;39;0.61;
2025-05-22T10:10:11Z00:00;22;7;0;22;0.34;
2025-05-22T10:10:41Z00:00;33;0;0;33;0.52;
2025-05-22T10:11:11Z00:00;40;1;0;40;0.62;
2025-05-22T10:11:41Z00:00;50;0;0;50;0.78;
2025-05-22T10:12:11Z00:00;14;0;0;14;0.22;
2025-05-22T10:12:41Z00:00;40;129;0;40;0.62;
2025-05-22T10:13:11Z00:00;39;0;0;39;0.61;
2025-05-22T10:13:41Z00:00;59;2;0;59;0.92;
2025-05-22T10:14:11Z00:00;16;3;0;16;0.25;
2025-05-22T10:14:41Z00:00;14;1;0;14;0.22;
2025-05-22T10:15:11Z00:00;17;3;0;17;0.27;
2025-05-22T10:15:41Z00:00;29;0;0;29;0.45;
2025-05-22T10:16:11Z00:00;39;1;0;39;0.61;
2025-05-22T10:16:41Z00:00;27;3;0;27;0.42;
2025-05-22T10:17:11Z00:00;83;0;0;83;1.30;
2025-05-22T10:17:41Z00:00;16;6;0;16;0.25;
2025-05-22T10:18:11Z00:00;42;6;0;42;0.66;
2025-05-22T10:18:41Z00:00;70;1;0;70;1.09;
2025-05-22T10:19:11Z00:00;51;0;0;51;0.80;
2025-05-22T10:19:41Z00:00;40;1;0;40;0.62;
2025-05-22T10:20:11Z00:00;26;0;0;26;0.41;
2025-05-22T10:20:41Z00:00;35;1;0;35;0.55;
2025-05-22T10:21:11Z00:00;40;0;0;40;0.62;
2025-05-22T10:21:41Z00:00;27;0;0;27;0.42;
2025-05-22T10:22:11Z00:00;46;0;0;46;0.72;
